2017-09-08T10:15:50.434+0800 I NETWORK  [conn21] received client metadata from 127.0.0.1:59455 conn21: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 10", architecture: "AMD64", version: "10.0.14393-SP0" }, platform: "CPython 3.6.1.final.0" }
2017-09-08T10:15:50.442+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:59456 #22 (4 connections now open)
2017-09-08T10:15:50.442+0800 I NETWORK  [conn22] received client metadata from 127.0.0.1:59456 conn22: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 10", architecture: "AMD64", version: "10.0.14393-SP0" }, platform: "CPython 3.6.1.final.0" }
2017-09-08T10:15:50.990+0800 I -        [conn22] end connection 127.0.0.1:59456 (4 connections now open)
2017-09-08T10:15:50.990+0800 I -        [conn21] end connection 127.0.0.1:59455 (3 connections now open)
2017-09-08T10:15:53.713+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:59470 #23 (3 connections now open)
2017-09-08T10:15:53.714+0800 I NETWORK  [conn23] received client metadata from 127.0.0.1:59470 conn23: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 10", architecture: "AMD64", version: "10.0.14393-SP0" }, platform: "CPython 3.6.1.final.0" }
2017-09-08T10:15:54.272+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:59473 #24 (4 connections now open)
2017-09-08T10:15:54.273+0800 I NETWORK  [conn24] received client metadata from 127.0.0.1:59473 conn24: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 10", architecture: "AMD64", version: "10.0.14393-SP0" }, platform: "CPython 3.6.1.final.0" }
2017-09-08T10:16:00.579+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:59506 #25 (5 connections now open)
2017-09-08T10:16:00.580+0800 I NETWORK  [conn25] received client metadata from 127.0.0.1:59506 conn25: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 10", architecture: "AMD64", version: "10.0.14393-SP0" }, platform: "CPython 3.6.1.final.0" }
2017-09-08T10:17:22.184+0800 I -        [conn25] end connection 127.0.0.1:59506 (5 connections now open)
2017-09-08T10:17:22.184+0800 I -        [conn24] end connection 127.0.0.1:59473 (4 connections now open)
2017-09-08T10:17:22.645+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:59908 #26 (4 connections now open)
2017-09-08T10:17:22.646+0800 I NETWORK  [conn26] received client metadata from 127.0.0.1:59908 conn26: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 10", architecture: "AMD64", version: "10.0.14393-SP0" }, platform: "CPython 3.6.1.final.0" }
2017-09-08T10:17:35.978+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:59979 #27 (5 connections now open)
2017-09-08T10:17:35.979+0800 I NETWORK  [conn27] received client metadata from 127.0.0.1:59979 conn27: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 10", architecture: "AMD64", version: "10.0.14393-SP0" }, platform: "CPython 3.6.1.final.0" }
2017-09-08T10:18:10.382+0800 I -        [conn27] end connection 127.0.0.1:59979 (5 connections now open)
2017-09-08T10:18:10.382+0800 I -        [conn26] end connection 127.0.0.1:59908 (4 connections now open)
2017-09-08T10:18:10.852+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:60220 #28 (4 connections now open)
2017-09-08T10:18:10.855+0800 I NETWORK  [conn28] received client metadata from 127.0.0.1:60220 conn28: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 10", architecture: "AMD64", version: "10.0.14393-SP0" }, platform: "CPython 3.6.1.final.0" }
2017-09-08T10:18:14.811+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:60245 #29 (5 connections now open)
2017-09-08T10:18:14.811+0800 I NETWORK  [conn29] received client metadata from 127.0.0.1:60245 conn29: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 10", architecture: "AMD64", version: "10.0.14393-SP0" }, platform: "CPython 3.6.1.final.0" }
2017-09-08T10:20:23.894+0800 I -        [conn28] end connection 127.0.0.1:60220 (5 connections now open)
2017-09-08T10:20:23.894+0800 I -        [conn29] end connection 127.0.0.1:60245 (5 connections now open)
2017-09-08T10:20:24.364+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:61033 #30 (4 connections now open)
2017-09-08T10:20:24.364+0800 I NETWORK  [conn30] received client metadata from 127.0.0.1:61033 conn30: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 10", architecture: "AMD64", version: "10.0.14393-SP0" }, platform: "CPython 3.6.1.final.0" }
2017-09-08T10:20:29.002+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:61064 #31 (5 connections now open)
2017-09-08T10:20:29.004+0800 I NETWORK  [conn31] received client metadata from 127.0.0.1:61064 conn31: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 10", architecture: "AMD64", version: "10.0.14393-SP0" }, platform: "CPython 3.6.1.final.0" }
2017-09-08T10:23:28.866+0800 I -        [conn31] end connection 127.0.0.1:61064 (5 connections now open)
2017-09-08T10:23:28.866+0800 I -        [conn30] end connection 127.0.0.1:61033 (5 connections now open)
2017-09-08T10:23:29.340+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:61952 #32 (4 connections now open)
2017-09-08T10:23:29.340+0800 I NETWORK  [conn32] received client metadata from 127.0.0.1:61952 conn32: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 10", architecture: "AMD64", version: "10.0.14393-SP0" }, platform: "CPython 3.6.1.final.0" }
2017-09-08T10:23:29.860+0800 I -        [conn32] end connection 127.0.0.1:61952 (4 connections now open)
2017-09-08T10:23:29.979+0800 I -        [conn23] end connection 127.0.0.1:59470 (3 connections now open)
2017-09-08T10:24:43.097+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:62316 #33 (3 connections now open)
2017-09-08T10:24:43.099+0800 I NETWORK  [conn33] received client metadata from 127.0.0.1:62316 conn33: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 10", architecture: "AMD64", version: "10.0.14393-SP0" }, platform: "CPython 3.6.1.final.0" }
2017-09-08T10:24:43.635+0800 I -        [conn33] end connection 127.0.0.1:62316 (3 connections now open)
2017-09-08T10:25:24.661+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:62530 #34 (3 connections now open)
2017-09-08T10:25:24.662+0800 I NETWORK  [conn34] received client metadata from 127.0.0.1:62530 conn34: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 10", architecture: "AMD64", version: "10.0.14393-SP0" }, platform: "CPython 3.6.1.final.0" }
2017-09-08T10:25:25.248+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:62534 #35 (4 connections now open)
2017-09-08T10:25:25.249+0800 I NETWORK  [conn35] received client metadata from 127.0.0.1:62534 conn35: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 10", architecture: "AMD64", version: "10.0.14393-SP0" }, platform: "CPython 3.6.1.final.0" }
2017-09-08T10:25:35.810+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:62589 #36 (5 connections now open)
